iter	Passed	Remaining
406	5518	130069
407	5528	129977
408	5539	129892
409	5550	129834
410	5563	129798
411	5574	129724
412	5586	129673
413	5597	129603
414	5608	129534
415	5618	129445
416	5634	129477
417	5647	129452
418	5658	129393
419	5668	129289
420	5678	129209
421	5687	129098
422	5714	129377
423	5735	129527
424	5751	129568
425	5764	129548
426	5778	129543
427	5791	129513
428	5801	129440
429	5813	129384
430	5828	129392
431	5849	129559
432	5861	129513
433	5872	129446
434	5882	129342
435	5893	129274
436	5904	129200
437	5913	129106
438	5925	129044
439	5935	128968
440	5947	128916
441	5960	128889
442	5970	128810
443	5979	128698
444	5991	128650
445	6003	128595
446	6012	128490
447	6022	128407
448	6031	128295
449	6042	128238
450	6054	128195
451	6063	128089
452	6073	128004
453	6083	127918
454	6092	127809
455	6102	127719
456	6110	127601
457	6120	127522
458	6129	127410
459	6139	127330
460	6149	127253
461	6159	127162
462	6173	127171
463	6186	127149
464	6199	127117
465	6210	127055
466	6221	126995
467	6232	126938
468	6241	126839
469	6252	126777
470	6263	126710
471	6272	126614
472	6283	126557
473	6293	126484
474	6305	126439
475	6316	126391
476	6326	126295
477	6336	126219
478	6346	126152
479	6372	126382
480	6384	126353
481	6397	126324
482	6407	126262
483	6419	126207
484	6429	126139
485	6438	126033
486	6450	125997
487	6460	125922
488	6470	125844
489	6481	125790
490	6491	125726
491	6502	125667
492	6514	125617
493	6524	125552
494	6534	125477
495	6546	125430
496	6556	125360
497	6567	125317
498	6579	125266
499	6589	125200
500	6600	125141
501	6612	125112
502	6625	125091
503	6637	125055
504	6648	125007
505	6659	124943
506	6668	124867
507	6678	124795
508	6689	124735
509	6699	124654
510	6709	124585
511	6721	124560
512	6730	124474
513	6741	124409
514	6750	124318
515	6760	124250
516	6768	124156
517	6779	124105
518	6789	124037
519	6799	123955
520	6813	123955
521	6834	124094
522	6852	124179
523	6863	124116
524	6874	124070
525	6886	124030
526	6896	123963
527	6907	123909
528	6917	123844
529	6927	123780
530	6938	123724
531	6947	123645
532	6964	123708
533	6977	123678
534	6988	123634
535	6997	123558
536	7009	123524
537	7021	123493
538	7033	123459
539	7046	123444
540	7059	123424
541	7072	123416
542	7085	123394
543	7097	123376
544	7110	123350
545	7123	123342
546	7136	123335
547	7150	123336
548	7161	123290
549	7173	123260
550	7188	123270
551	7202	123280
552	7215	123268
553	7226	123215
554	7236	123154
555	7250	123151
556	7260	123086
557	7271	123043
558	7283	123004
559	7292	122936
560	7307	122943
561	7317	122888
562	7327	122822
563	7337	122768
564	7352	122780
565	7364	122748
566	7374	122685
567	7384	122629
568	7395	122574
569	7405	122508
570	7415	122450
571	7424	122368
572	7434	122305
573	7445	122270
574	7456	122216
575	7468	122186
576	7480	122168
577	7492	122128
578	7502	122070
579	7512	122020
580	7524	121980
581	7535	121935
582	7547	121911
583	7558	121866
584	7568	121800
585	7578	121751
586	7588	121680
587	7598	121632
588	7609	121584
589	7619	121516
590	7635	121564
591	7649	121558
592	7659	121509
593	7670	121469
594	7681	121427
595	7692	121381
596	7701	121301
597	7714	121287
598	7725	121242
599	7734	121171
600	7744	121116
601	7754	121060
602	7763	120983
603	7773	120925
604	7782	120848
605	7792	120799
606	7802	120744
607	7815	120729
608	7832	120776
609	7843	120739
610	7853	120685
611	7862	120607
612	7873	120570
613	7885	120536
614	7895	120493
615	7906	120452
616	7917	120408
617	7926	120333
618	7937	120292
619	7946	120223
620	7956	120174
621	7967	120120
622	7975	120047
623	7986	119995
624	7994	119921
625	8004	119865
626	8013	119795
627	8023	119744
628	8034	119696
629	8045	119655
630	8055	119602
631	8065	119550
632	8074	119477
633	8084	119433
634	8093	119365
635	8105	119333
636	8117	119308
637	8125	119238
638	8136	119190
639	8146	119138
640	8156	119087
641	8166	119035
642	8174	118962
643	8184	118906
644	8194	118849
645	8203	118782
646	8213	118729
647	8221	118657
648	8232	118610
649	8241	118543
650	8252	118508
651	8262	118465
652	8271	118393
653	8282	118356
654	8293	118321
655	8303	118276
656	8314	118242
657	8326	118219
658	8339	118210
659	8349	118163
660	8360	118117
661	8369	118060
662	8379	118015
663	8388	117944
664	8398	117894
665	8408	117850
666	8418	117797
667	8430	117772
668	8439	117716
669	8451	117683
670	8461	117648
671	8472	117610
672	8481	117545
673	8492	117502
674	8500	117439
675	8513	117422
676	8526	117412
677	8540	117421
678	8549	117369
679	8562	117352
680	8573	117327
681	8583	117279
682	8595	117250
683	8607	117233
684	8618	117201
685	8628	117156
686	8639	117119
687	8649	117063
688	8659	117029
689	8670	116995
690	8682	116965
691	8694	116947
