iter	RMSE
0	0.1604807568
1	0.1499792912
2	0.1409656136
3	0.1329385996
4	0.1258362516
5	0.1192902992
6	0.113291564
7	0.107651077
8	0.1025251195
9	0.0980785942
10	0.09347642324
11	0.08983983191
12	0.08652567804
13	0.08366430066
14	0.08079579008
15	0.07826956825
16	0.07569429402
17	0.07362945165
18	0.07168866693
19	0.06990370896
20	0.06827322617
21	0.06668685823
22	0.06529452104
23	0.0641033623
24	0.0630022976
25	0.06214614788
26	0.06124202685
27	0.0605369706
28	0.05993196052
29	0.05933538731
30	0.05859191998
31	0.05795635599
32	0.05745938042
33	0.05688612392
34	0.05638633668
35	0.05583617956
36	0.05524179632
37	0.05486330108
38	0.05453954157
39	0.05417091689
40	0.05386226579
41	0.05346100432
42	0.05323858778
43	0.05285790136
44	0.05254649205
45	0.05225141713
46	0.0519554149
47	0.05173689857
48	0.05145061781
49	0.05123266743
50	0.05091945207
51	0.05074987627
52	0.05058069636
53	0.05050151446
54	0.05030892429
55	0.05008325014
56	0.04990022219
57	0.04973385149
58	0.04955576994
59	0.04939949262
60	0.04916929863
61	0.04902550618
62	0.04886673967
63	0.04874210883
64	0.04859846528
65	0.0484740849
66	0.04821816603
67	0.04804033515
68	0.04788486467
69	0.04776553323
70	0.04769431431
71	0.04758869004
72	0.04739012726
73	0.04723733041
74	0.04715854892
75	0.04707155963
76	0.04696970754
77	0.04683126167
78	0.04670000461
79	0.0466206629
80	0.04646319615
81	0.04630317356
82	0.04617697569
83	0.04603625381
84	0.04592916802
85	0.04579831085
86	0.04568682583
87	0.04560063027
88	0.04547040262
89	0.04535399759
90	0.04525937634
91	0.04507979876
92	0.04487921282
93	0.04467508027
94	0.04459143675
95	0.04445997728
96	0.04431158995
97	0.04420853344
98	0.04407586127
99	0.04396519009
100	0.04387577548
101	0.04375383642
102	0.0436556906
103	0.04356737507
104	0.04342408661
105	0.04331598393
106	0.04322653595
107	0.04312372229
108	0.04296039967
109	0.04289422487
110	0.04279891163
111	0.04273101712
112	0.04269967092
113	0.0426064316
114	0.04249661005
115	0.04241203555
116	0.04232708261
117	0.04222828031
118	0.04215138539
119	0.04206009139
120	0.04203612641
121	0.04202000444
122	0.04190582987
123	0.04179668844
124	0.04171810286
125	0.04157101
126	0.04148234645
